station_id,easting_m,northing_m,height_initial_m,delta_e_m,delta_n_m,delta_u_m,horizontal_magnitude_m,azimuth_deg,rtk_e_cm_day,rtk_n_cm_day,rtk_u_cm_day,insar_pre_e_cm_day,insar_pre_e_cm_day_window_std,insar_pre_e_cm_day_valid_pixels,insar_event_e_cm_day,insar_event_e_cm_day_window_std,insar_event_e_cm_day_valid_pixels,insar_pre_u_cm_day,insar_pre_u_cm_day_window_std,insar_pre_u_cm_day_valid_pixels,insar_event_u_cm_day,insar_event_u_cm_day_window_std,insar_event_u_cm_day_valid_pixels,grid_row,grid_column,grid_center_easting_m,grid_center_northing_m,station_to_grid_center_m
26,445022.3890000000,1943061.7770000000,1256.7920000000,0.0270000000,-0.0530000001,-0.0030000000,0.0594810895,153.0041616361,0.0073972603,-0.0145205480,-0.0008219178,-0.0362325700,0.0574779708,25,0.2353190311,0.0409788857,25,-0.0165358339,0.0309488972,25,0.1601815179,0.0382213027,25,33,61,445030.0000000000,1943055.0000000000,10.1909297907
27,444893.8040000000,1942923.9739999999,1257.9850000000,0.4020000000,0.2700000000,0.0310000000,0.4842561306,56.1130405342,0.1101369863,0.0739726027,0.0084931507,0.3006370427,0.1723342882,25,0.5472332885,0.1538286627,25,0.0653571299,0.0601564135,25,0.2323852544,0.0419785742,25,40,54,444890.0000000000,1942915.0000000000,9.7469529597
29,444893.1750000000,1942928.9530000000,1257.9880000000,0.4030000000,0.2630000000,0.1640000000,0.4812255189,56.8713140737,0.1104109589,0.0720547945,0.0449315068,0.2594465732,0.1755379384,25,0.5080114524,0.1445458112,25,0.0523568748,0.0563262879,25,0.2295709239,0.0435768805,25,39,54,444890.0000000000,1942935.0000000000,6.8298487538
30,444909.9550000000,1942919.0970000001,1263.9740000000,0.3760000000,0.2609999999,0.0210000000,0.4577084224,55.2335929506,0.1030136986,0.0715068493,0.0057534247,0.2162364435,0.1967609387,25,0.4611584720,0.1726356707,25,0.0433313386,0.0623354850,25,0.2251817150,0.0456265190,25,40,55,444910.0000000000,1942915.0000000000,4.0972471247
31,444911.0160000000,1942910.7039999999,1264.0760000000,0.4410000000,0.2940000000,0.0400000000,0.5300160375,56.3099324740,0.1208219178,0.0805479452,0.0109589041,0.2162364435,0.1967609387,25,0.4611584720,0.1726356707,25,0.0433313386,0.0623354850,25,0.2251817150,0.0456265190,25,40,55,444910.0000000000,1942915.0000000000,4.4145069941
32,444887.5740000000,1942907.6930000000,1264.2050000000,0.4250000000,0.2430000000,0.0680000000,0.4895651131,60.2406024153,0.1164383562,0.0665753425,0.0186301370,0.3006370427,0.1723342882,25,0.5472332885,0.1538286627,25,0.0653571299,0.0601564135,25,0.2323852544,0.0419785742,25,40,54,444890.0000000000,1942915.0000000000,7.6992028808
33,444886.4310000000,1942916.0889999999,1264.2150000000,0.3760000000,0.2350000001,0.0230000000,0.4433971133,57.9946167800,0.1030136986,0.0643835617,0.0063013699,0.3006370427,0.1723342882,25,0.5472332885,0.1538286627,25,0.0653571299,0.0601564135,25,0.2323852544,0.0419785742,25,40,54,444890.0000000000,1942915.0000000000,3.7314450284
34,445146.2310000000,1942787.1390000000,1253.3900000000,0.0360000000,0.1220000000,0.0150000000,0.1272006289,16.4403795093,0.0098630137,0.0334246575,0.0041095890,-0.0076639429,0.0633683438,25,0.2201622820,0.0656955923,25,-0.0373529057,0.0520209827,25,0.1709563660,0.0498022698,25,46,67,445150.0000000000,1942795.0000000000,8.7178370024
35,444982.9440000000,1942732.3070000000,1271.6990000000,0.0370000000,-0.0130000000,-0.0180000000,0.0392173431,109.3589942191,0.0101369863,-0.0035616438,-0.0049315068,-0.0920818102,0.2382660518,25,0.2911785404,0.0864890531,25,0.0344195677,0.1976495059,25,0.1992763660,0.0593392245,25,49,59,444990.0000000000,1942735.0000000000,7.5524423202
37,444883.3880000000,1942509.3160000001,1289.0060000000,0.0440000000,-0.1260000002,-0.0240000000,0.1334616051,160.7504741528,0.0120547945,-0.0345205480,-0.0065753425,-0.0216277206,0.0584775024,25,0.3388924339,0.0571112903,25,-0.0357197789,0.0406153075,25,0.2355218249,0.0461122378,25,60,54,444890.0000000000,1942515.0000000000,8.7193118994
39,444310.0320000000,1942325.0170000000,1377.1520000000,-0.1330000000,0.0930000001,0.0000000000,0.1622898642,304.9630975716,-0.0364383562,0.0254794521,0.0000000000,-0.0346247549,0.1030258610,25,0.5254838325,0.0538003448,25,-0.0277467737,0.0626449550,25,0.3685931034,0.0434954318,25,69,25,444310.0000000000,1942335.0000000000,9.9830512871
40,444883.9250000000,1942792.0279999999,1266.7240000000,1.1340000000,0.9620000001,-0.0420000000,1.4870776712,49.6912414380,0.3106849315,0.2635616439,-0.0115068493,0.7089134991,0.2740364945,24,0.7842758547,0.1967354984,24,0.0090761907,0.1433914974,24,0.1934918044,0.0705871737,24,46,54,444890.0000000000,1942795.0000000000,6.7630177436
41,444411.5600000000,1943026.2479999999,1312.2710000000,-0.0810000000,0.0200000000,0.0020000000,0.0834326075,283.8696864500,-0.0221917808,0.0054794521,0.0005479452,0.0497669189,0.0852499335,25,0.5036000300,0.1395403495,25,-0.0297040277,0.0767087100,25,0.2771581191,0.0783690705,25,34,30,444410.0000000000,1943035.0000000000,8.8899439819
42,444724.1040000000,1943065.1760000000,1277.0070000000,0.6330000000,0.1030000001,0.1170000000,0.6413251906,80.7579885886,0.1734246575,0.0282191781,0.0320547945,0.2947914949,0.0777779448,24,0.7599029485,0.1008310446,24,0.0023299798,0.0431990149,24,0.2156480776,0.0458000824,24,32,46,444730.0000000000,1943075.0000000000,11.4574775584
43,444480.6790000000,1943480.1529999999,1298.9830000000,0.1390000000,0.0300000000,0.1950000000,0.1422005626,77.8208189386,0.0380821918,0.0082191781,0.0534246575,-0.0121845141,0.0562649009,25,0.3652800160,0.0345968552,25,-0.0179778070,0.0522246827,25,0.2579057401,0.0459908647,25,12,34,444490.0000000000,1943475.0000000000,10.6505610181
44,444212.0590000000,1943469.0370000000,1330.1570000000,0.0870000000,0.0989999999,-0.0130000000,0.1317952958,41.3086140337,0.0238356164,0.0271232877,-0.0035616438,0.0050558753,0.0326498797,25,0.4387382860,0.0459771636,25,-0.0327281884,0.0402809415,25,0.2988114096,0.0276615385,25,12,20,444210.0000000000,1943475.0000000000,6.3084744590
45,444091.4430000000,1943325.6150000000,1351.5100000000,-0.1090000001,-0.1410000001,0.0790000000,0.1782189665,217.7058036933,-0.0298630137,-0.0386301370,0.0216438356,-0.0237898777,0.0946576343,25,0.4622097812,0.0715248954,25,0.0195124602,0.0640368993,25,0.3327368523,0.0545645700,25,19,14,444090.0000000000,1943335.0000000000,9.4952869362
46,444532.0920000000,1942680.9690000000,1315.5600000000,0.7810000000,0.2050000001,-0.1210000000,0.8074565004,75.2925540094,0.2139726027,0.0561643836,-0.0331506849,0.4033861109,0.0925783002,25,0.9137634108,0.0797209067,25,-0.0736911079,0.0741555049,25,0.2280571106,0.0399083335,25,52,36,444530.0000000000,1942675.0000000000,6.3249841897
